id,release_date,title,production_budget,domestic_gross,worldwide_gross,year,movie_id,runtime_minutes,genres,averagerating,numvotes,studio,foreign_gross,roi,profit_musd,intl_share
97,2012-06-08,Madagascar 3: Europe's Most Wanted,145000000.0,216391482.0,746921271.0,2012,tt1277953,93.0,"Adventure,Animation,Comedy",6.8,146858,P/DW,530500000.0,4.151181179310345,601.921271,0.710277212667422
99,2014-06-13,How to Train Your Dragon 2,145000000.0,177002924.0,614586270.0,2014,tt1646971,102.0,"Action,Adventure,Animation",7.8,278205,Fox,444500000.0,3.238526,469.58627,0.7152017839903195
1,2014-03-07,Mr. Peabody & Sherman,145000000.0,111506430.0,269806430.0,2014,tt0864835,92.0,"Adventure,Animation,Comedy",6.8,57277,Fox,164200000.0,0.860734,124.80643,0.5955610103108585
2,2012-11-21,Rise of the Guardians,145000000.0,103412758.0,306900902.0,2012,tt1446192,97.0,"Action,Adventure,Animation",7.3,145281,P/DW,203500000.0,1.1165579448275862,161.900902,0.6630548737240829
10,2011-07-22,Captain America: The First Avenger,140000000.0,176654505.0,370569776.0,2011,tt0458339,124.0,"Action,Adventure,Sci-Fi",6.9,668137,Par.,193900000.0,1.6469269714285715,230.569776,0.5232698493302625
11,2016-01-29,Kung Fu Panda 3,140000000.0,143528619.0,517599142.0,2016,tt2267968,95.0,"Action,Adventure,Animation",7.1,116166,Fox,377600000.0,2.6971367285714285,377.599142,0.7245811997901423
13,2013-03-27,G.I. Joe: Retaliation,140000000.0,122523060.0,375740705.0,2013,tt1583421,110.0,"Action,Adventure,Sci-Fi",5.8,165536,Par.,253200000.0,1.6838621785714285,235.740705,0.6739006117963587
16,2014-12-12,Exodus: Gods and Kings,140000000.0,65014513.0,268314513.0,2014,tt1528100,150.0,"Action,Adventure,Drama",6.0,150858,Fox,203200000.0,0.9165322357142857,128.314513,0.7576025537439878
17,2016-07-01,The BFG,140000000.0,55483770.0,199646680.0,2016,tt3691740,117.0,"Adventure,Family,Fantasy",6.4,69340,BV,127900000.0,0.4260477142857143,59.64668,0.6974444903166731
18,2016-02-26,Gods of Egypt,140000000.0,31153464.0,138836756.0,2016,tt2404233,127.0,"Action,Adventure,Fantasy",5.4,95111,LG/S,119500000.0,-0.008308885714285714,-1.163244,0.7932111006753884
26,2013-03-22,The Croods,135000000.0,187168425.0,573068425.0,2013,tt0481499,98.0,"Action,Adventure,Animation",7.2,176699,Fox,400000000.0,3.2449512962962963,438.068425,0.6812355415739529
27,2015-12-25,The Revenant,135000000.0,183637894.0,532938302.0,2015,tt1663202,156.0,"Action,Adventure,Biography",8.0,621193,Fox,349300000.0,2.947691125925926,397.938302,0.6554234629072933
29,2011-03-04,Rango,135000000.0,123477607.0,245724600.0,2011,tt1192628,107.0,"Adventure,Animation,Comedy",7.2,215761,Par.,122200000.0,0.8201822222222223,110.7246,0.49739983017662653
31,2013-07-17,Turbo,135000000.0,83028130.0,286896578.0,2013,tt1860353,96.0,"Adventure,Animation,Comedy",6.4,74639,Fox,199500000.0,1.125159837037037,151.896578,0.7061243777743477
32,2016-06-03,Teenage Mutant Ninja Turtles: Out of the Shadows,135000000.0,82051601.0,245328374.0,2016,tt3949660,112.0,"Action,Adventure,Comedy",6.0,77234,Par.,163600000.0,0.8172472148148148,110.328374,0.6659838541007514
33,2011-11-18,Happy Feet Two,135000000.0,64006466.0,157956466.0,2011,tt1402488,100.0,"Adventure,Animation,Comedy",5.9,38396,WB,86400000.0,0.1700478962962963,22.956466,0.574443388623997
35,2018-11-02,The Nutcracker and the Four Realms,132900000.0,54858851.0,170293899.0,2018,tt5523010,99.0,"Adventure,Family,Fantasy",5.5,18734,BV,119100000.0,0.281368690744921,37.393899,0.6846446692154802
37,2014-11-26,Penguins of Madagascar,132000000.0,83350911.0,366942531.0,2014,tt1911658,92.0,"Adventure,Animation,Comedy",6.7,72551,Fox,289700000.0,1.779867659090909,234.942531,0.7765696087524097
38,2013-11-22,The Hunger Games: Catching Fire,130000000.0,424668047.0,864868047.0,2013,tt1951264,146.0,"Action,Adventure,Sci-Fi",7.5,575455,LGF,440300000.0,5.652831130769231,734.868047,0.5090361447768024
41,2018-07-06,Ant-Man and the Wasp,130000000.0,216648740.0,623144660.0,2018,tt5095030,118.0,"Action,Adventure,Comedy",7.1,244024,BV,406000000.0,3.7934204615384615,493.14466,0.6520530339465554
43,2015-07-17,Ant-Man,130000000.0,180202163.0,518858449.0,2015,tt0478970,117.0,"Action,Adventure,Comedy",7.3,501213,BV,339100000.0,2.9912188384615384,388.858449,0.6529916957037593
45,2018-12-19,Mary Poppins Returns,130000000.0,171958438.0,341528518.0,2018,tt5028340,130.0,"Comedy,Family,Fantasy",6.9,52103,BV,177600000.0,1.6271424461538462,211.528518,0.5080695548822655
46,2011-10-28,Puss in Boots,130000000.0,149260504.0,554987477.0,2011,tt0448694,90.0,"Action,Adventure,Animation",6.6,133355,P/DW,405700000.0,3.2691344384615384,424.987477,0.7310430149097601
47,2010-11-05,Megamind,130000000.0,148415853.0,321887208.0,2010,tt1001526,95.0,"Action,Animation,Comedy",7.3,207488,P/DW,173500000.0,1.4760554461538462,191.887208,0.5389607202724496
