Movie,Year,Studio,Production_Budget,Domestic_Gross,Foreign_Gross,Worldwide_Gross,ROI,Profit_USD_Millions,International_Share,Genres,Runtime_Minutes,IMDb_Rating,IMDb_Num_Votes
Eat Pray Love,2010,Sony,60000000.0,80574010.0,124000000.0,206598789.0,2.44331315,146.598789,0.6061376027189378,"Drama,Romance",133.0,5.8,77709
Jack Reacher,2012,Par.,60000000.0,80070736.0,138300000.0,217370736.0,2.6228456,157.370736,0.6333266193689983,"Action,Crime,Thriller",130.0,7.0,284547
Contagion,2011,WB,60000000.0,75658097.0,59800000.0,137551594.0,1.2925265666666668,77.551594,0.4414649350935441,"Action,Drama,Thriller",106.0,6.6,201536
London Has Fallen,2016,Focus,60000000.0,62524260.0,143200000.0,195194085.0,2.25323475,135.194085,0.6960773610268425,"Action,Thriller",99.0,5.9,124757
Jack Reacher: Never Go Back,2016,Par.,60000000.0,58697076.0,103400000.0,159946489.0,1.6657748166666666,99.946489,0.6378893595835128,"Action,Thriller",118.0,6.1,121892
Baywatch,2017,Par.,60000000.0,58060186.0,119800000.0,175863783.0,1.93106305,115.863783,0.6735627725026668,"Action,Comedy,Crime",116.0,5.6,137528
Joy,2015,Fox,60000000.0,56451232.0,44700000.0,101134059.0,0.68556765,41.134059,0.4419125611836344,Drama,124.0,6.6,118086
ParaNorman,2012,Focus,60000000.0,56003051.0,51100000.0,108119662.0,0.8019943666666667,48.119662,0.477110591368681,"Adventure,Animation,Comedy",92.0,7.0,87250
The Boxtrolls,2014,Focus,60000000.0,50837305.0,58400000.0,111946251.0,0.86577085,51.946251,0.5346158988451793,"Adventure,Animation,Comedy",96.0,6.8,50763
The Dark Tower,2017,Sony,60000000.0,50701325.0,62500000.0,113461527.0,0.89102545,53.461527,0.5521136788814088,"Action,Adventure,Fantasy",95.0,5.7,107518
Jack Ryan: Shadow Recruit,2014,Par.,60000000.0,50577412.0,84900000.0,131377412.0,1.1896235333333334,71.377412,0.626672732720935,"Action,Drama,Thriller",105.0,6.2,114913
Vice,2018,Annapurna,60000000.0,47836282.0,28200000.0,70883171.0,0.1813861833333333,10.883171,0.3708755775302111,"Biography,Comedy,Drama",132.0,7.2,72855
